Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
...5...769..74.....5...3.....247....4.89......6..28.......6.....742....82.583..67,28,39,14,0,0,0,0,0,0,Easy,
...1.37....84..3......9.....75..146.84..3...5..17.........86.....63..5..4.......7,25,54,2,0,0,0,0,0,0,Easy,
...4..8.1...25763..5......2.4...5.275.6...........31..82...........8..1.7.4.3....,25,39,17,0,0,0,0,0,0,Easy,
...3.4.....5..8..7....6....31.....5....193.8..49.......3.6....4.6.8.73....4..9.7.,25,39,17,0,0,0,0,0,0,Easy,
5.....7...3.9...........1..37..9..4..4.8...56...4.63......1.....8..735..167..8...,25,41,15,0,0,0,0,0,0,Easy,
..9....45......89......3......6.2...84.5...3..23..975..8..749...3.....8......65.7,26,54,1,0,0,0,0,0,0,Easy,
8...4.2...6..2....2...167.3........84.37.....5.7......3...841...4...352.65.......,26,37,18,0,0,0,0,0,0,Easy,
5.........7......6...8....9..3..2.64..54..9.29..5..37..2796.....9..3.......7.4...,25,49,7,0,0,0,0,0,0,Easy,
.9...7..3....2.........6.8...7..9..624..8.9....93..87..3..4.......1.......4..861.,24,40,17,0,0,0,0,0,0,Easy,
.......5...5....978.....6...5......42.796..35.....476.....9...69.2857...3.84.....,27,42,12,0,0,0,0,0,0,Easy,
...6...8...2..45...893..2..8...5.3.95..46...7...7.8.5............6...9...3....7.4,25,48,8,0,0,0,0,0,0,Easy,
.3.19.............619..2.....2.37...95..8.........9..2.8..71.93..5...1...6..5.8..,25,55,1,0,0,0,0,0,0,Easy,
6..........1.3......2........4..7.6..3..945.....15...9..3.4917...6.....2.7..6.45.,25,43,13,0,0,0,0,0,0,Easy,
...41...9..6.87...4....6.....76..594.....82......2.7....19.2.7..9.....2...4.7....,25,40,16,0,0,0,0,0,0,Easy,
.5..2......9.....6....3....8..9.2.142...54..8..4.....9.3.6...2....8.5...641....8.,25,48,8,0,0,0,0,0,0,Easy,
.2.......9.....1363..74.5.........1....35.9.41..2..37.2......4.5.......2...1.7...,24,38,19,0,0,0,0,0,0,Easy,
.12...9....4....7..3.2....8.49..2..7..19.45.....3.......5...183..8....5.4.....2..,25,55,1,0,0,0,0,0,0,Easy,
.6.........36.....24.7...1.87......66.........9...1......4..7.2...87.3...3.2..149,24,46,11,0,0,0,0,0,0,Easy,
..5.7..1.63.2...4.814..36.........2..6...48.........5....15.7.......8...28.6....5,25,43,13,0,0,0,0,0,0,Easy,
3...........8...23.6..2.......3152....1....9..28.9..7..15..86.96......3.....5....,24,40,17,0,0,0,0,0,0,Easy,
2..3.1.......4......8..2...3.97....4............6.4..1.3...718.1.6..942..8..6...3,25,54,2,0,0,0,0,0,0,Easy,
.....72...19.........32...687.6...2....78.........5...32.9.....5...6.8..9..8...5.,23,43,15,0,0,0,0,0,0,Easy,
........58..3..1...2.....38....5.....3.62.......48.6236..8..5.15.....4..1...94...,25,35,21,0,0,0,0,0,0,Easy,
.5.....97..192.6.8.8..7..4..2...4..3...2.5...8......1..7..8.1....4....7.1........,24,44,13,0,0,0,0,0,0,Easy,
.49.8..6.7........2.....3171...79..6.....8..1.....6.8...7.......2..1...463....27.,25,46,10,0,0,0,0,0,0,Easy,
6.......3..1...57..2....1...43...85.8....4.31........6....68...1..5.248.2.7..1...,26,45,10,0,0,0,0,0,0,Easy,
....6.3.43..18..764.1....2..8..4.......6.....5..2.7.....2.13......5......46.7....,24,44,13,0,0,0,0,0,0,Easy,
.649.....8.14......2..5.6.....629..8....8.5........2.45.38...2...82.....6...354.1,28,48,5,0,0,0,0,0,0,Easy,
..8.4..2....9....5......183.....8..........42..5..6.9..928......53.....116.3.2..8,25,45,11,0,0,0,0,0,0,Easy,
.......2.6.3..........4..9...28..61...5..4..3.162.....8.9.........13.5...3.5.2..8,24,40,17,0,0,0,0,0,0,Easy,
7......5.2.....1....1...34.5.....2...32..7485...9......1...9......8...91...3.5.7.,24,39,18,0,0,0,0,0,0,Easy,
..743......4....8....19.......8.....8...79....5...6....96...35.37..5..194...6...7,25,51,5,0,0,0,0,0,0,Easy,
3..98..2..5.4.17..8....21..28....4...3...4....1.5.9.8..79......4.....2.........1.,25,46,10,0,0,0,0,0,0,Easy,
...1..5.4.79...21.1.......66.......5..7....4..2.9..6..3......97.1..5.3..9.64.....,25,41,15,0,0,0,0,0,0,Easy,
..5.....22..7..18.9.8...367....82...8..6.3.1......7.......9......91......1...629.,25,48,8,0,0,0,0,0,0,Easy,
........2.86.5.3....2.......3.....6.5....79.8..93......4..2.8....78....5.53..6.7.,24,42,15,0,0,0,0,0,0,Easy,
4..9.6..1.3...2........136...2....46..6......3.....9.......92....48...3.....25819,25,47,9,0,0,0,0,0,0,Easy,
..87...34....9..6..1...4.9.7..48..59..497......5.6.3...63..9......3.........46...,26,34,21,0,0,0,0,0,0,Easy,
..3..9.4....5..8.3.5..4..1952...6...1.8...........12..3............826.19...6....,24,46,11,0,0,0,0,0,0,Easy,
..4..7.9.....9.8..82...5.4...3..4.5........27.....9...7.285......8...5...9..7123.,26,44,11,0,0,0,0,0,0,Easy,
..29.4...........1584..2.9....6.8...3.........982.1.....98....3..3..594.2.1...5.6,27,42,12,0,0,0,0,0,0,Easy,
..4.1....1....5.8.7.3.9.6....79......9.654.37.........8.........3..4..7..4136..5.,26,47,8,0,0,0,0,0,0,Easy,
5..1.4...4....9.........87...4782...9.........8.....6..6.9....78..5....1.2..1..9.,23,40,18,0,0,0,0,0,0,Easy,
83..12..9.9.7....22..4.8.....2..13...1....26...9...7....89........83..7.....26...,26,33,22,0,0,0,0,0,0,Easy,
..3.8.......7........32.8..5.96.37..8......5..21....6.....7.28....1625....78..61.,27,43,11,0,0,0,0,0,0,Easy,
..5.4..1.................9.5....62..4.......721.57.64.6..1...29.9...7.......637..,24,52,5,0,0,0,0,0,0,Easy,
......7....5..9.28.2..6...9..8.2.67.......9.........15...7..4....91.......245.8.6,24,50,7,0,0,0,0,0,0,Easy,
7...9...............2..31...174....398.6...7....1..2....1...9.2.4...7.8.......4..,22,33,26,0,0,0,0,0,0,Easy,
...7..........69.1.....2.6.....9.4..2.7.....5...1...8...1.6..4.4......92..2..98.7,23,44,14,0,0,0,0,0,0,Easy,
4...7......5.............589..4.....8.1..39.......8.71.24...1.....31...77.9..4.82,25,32,24,0,0,0,0,0,0,Easy,
.........64......1..8....9...6..47...9.1.8.4...16.2...8.72..1..5....6.82.69......,25,51,5,0,0,0,0,0,0,Easy,
.8...129.3.......81.5...........5.39.21....87...7........8.......3....7.4...195..,23,47,11,0,0,0,0,0,0,Easy,
