Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..63....9.9....378...7......3987..21....4..3.81...3...6.8.....7.7.9.6.4..........,26,53,13,1,0,2,0,3,2,Expert,
...43..82......6...689.73..6....8.2....379.1.17.......4392......8.....9...2......,26,31,23,0,1,1,1,1,0,Expert,
1.......5.....29...6.8..2..6.15.78..8..6...7...5.....4...1....7.....56..9...681..,25,63,13,0,1,2,0,6,4,Expert,
6........9....8.64...7..5.2...8.......5.162.......41.6..76.1.2.....7...189.4...5.,26,87,21,3,1,4,0,4,6,Expert,
..5.....1..3687........13.6...195....8...6....54.......3..48......3..9...71....8.,24,46,10,0,0,2,0,1,0,Expert,
..6.3.1.........38...2.4......67.2.3...3156.........5.2.7.5..6..34.2.8...8.1...7.,27,54,16,2,1,1,0,2,2,Expert,
871........4.......3..9....19.5..6..5.31....8.87.6..9..4......1....4..693..7...5.,26,107,16,1,1,3,1,7,6,Expert,
6....38...9........34795.............5.869.4.9...1.3...6.98..3....45.16...7......,26,70,19,2,0,0,1,7,8,Expert,
...52.9.66......4...21.9...7.......4.18...6..469....1...4.7....8.....5..2518.....,26,47,7,1,0,3,0,1,0,Expert,
.6...........2.9..8.34...6....64......21.9...6.7.8..3..2........1...7.4......137.,23,53,14,0,0,2,0,2,2,Expert,
97....1....1..5....35.1..29..9.7.85......3..1.......6.2...5..7...8.....61.796..8.,27,42,14,1,0,0,2,3,2,Expert,
....875....7...1....83.9.46.............6..916.153........9.8...3..7..6.8.61....4,26,32,21,0,0,0,0,2,0,Expert,
.96............7...2.....4.2..6..3.5....1..94..7.....2..5..7.3.16.4...5.....3.91.,24,45,16,0,0,0,0,2,2,Expert,
.5.4..3.........9...........8..419..9...8...14..3.587...1..2.5...9.1.28...795..4.,27,42,16,1,1,2,0,4,2,Expert,
..17.....6..9....7.....2.5.39.6..7.1..512.8..7...3.5....3.........296..3.....1...,25,45,10,0,2,0,0,1,0,Expert,
.52...8..7......6..1..62..5..7..........9.3.8...35.9.6.2...71.....1.....5...296..,25,45,25,2,0,1,1,5,4,Expert,
....5.....8.463.59...9.84...4...1936.3....5....5.....8..6...3.4...2.9..1..9.16.8.,29,66,17,2,0,0,1,4,6,Expert,
....81.2....74....5.4..69.....5..79..9..2.41.......8.67..4.....2.58.96..1........,26,48,6,1,0,0,0,1,0,Expert,
..5...7.........162.....4.8.72....8..5463...........65..852...1....7....1.63..2..,25,35,23,2,0,1,1,4,2,Expert,
3...916..9.6...3.5..8....94..93.4....7..1..8....2......5..2...36....5.4.....3..6.,26,88,11,4,0,2,0,7,6,Expert,
