Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
....456.........17..7.268......74.........328...2....1.5..1....32......64.....7.5,24,43,14,2,0,2,0,0,0,Intermediate,
..6....41...5.....7.......8.19.45.73....7.........158...496......5..3.699.....41.,26,35,20,1,0,0,0,0,0,Intermediate,
......7..7.8.5...3...3..81......93..3...7.9.5.6.....7......6....9.74..3865..1....,25,41,15,1,0,2,0,0,0,Intermediate,
..2.8....6..7.5.2...1.94..87.....5.1.6......4..4...2...9..18..5.1.5..........26..,25,38,18,2,0,0,0,0,0,Intermediate,
41..3..9.....71.6..87....1.......1471.........54.......784....65.376.4.....59....,27,34,20,1,0,0,2,0,0,Intermediate,
....845....8..7..151....82.985..1.....4......1...5......94.81.7731...............,25,36,20,1,0,0,0,0,0,Intermediate,
........9....8....41.2.7...247....9...3.....196..3...81.6..4....24..96..89..1....,26,47,8,2,0,1,0,0,0,Intermediate,
38..59.47...8.....15.7.....5..16.89...........7..35.1.7....4685.9....37.........9,28,41,12,0,0,1,0,0,0,Intermediate,
....3.72.38.2.7.....6.41..9.9....37.4.......8....1...67..8..6........21.9.......4,25,49,7,1,0,1,0,0,0,Intermediate,
..9.....2.48.7.53..7..9......2.37...81.5......3...2..4...3..4...24.1...335.......,26,36,19,1,0,0,0,0,0,Intermediate,
9..8.......536...8.63..4...........4..45...8.3...4.6.7.816.5...5..7..96..........,25,44,12,3,0,0,0,0,0,Intermediate,
...35.6.1.9...67..6..4.8..9.3.5..48.5........8.4.....34.....3..........69.1......,24,49,8,2,0,0,0,0,0,Intermediate,
3....2..5...6....1....9...4...15...6....36...4....7.3..7..19.5.9.....743.6.......,24,44,13,1,0,1,0,0,0,Intermediate,
......4....6.9...1815....6..89......5.24..1....186.......38....3...21......5.4.3.,25,35,21,1,0,0,0,0,0,Intermediate,
.4........97....68..3..4....85.4.....7....9..9.6...2.......9..3...6...7.2..78..54,24,35,22,1,0,0,0,0,0,Intermediate,
..5714.263..85.7.....2.3.151476.8....3.4.......61.......1.....3..........5....48.,28,48,5,2,0,3,1,0,0,Intermediate,
...83..9.........1..1...38..2.5..769.97...5..5...6.2...6..5....97...28......9..7.,26,41,14,2,0,0,0,0,0,Intermediate,
......7....1....297..2.5..8..2....3....1.......8...9.196..2.8..15.73.2..2.3..6.5.,27,40,14,1,0,0,0,0,0,Intermediate,
4.8...37..6....92.9.3...5.8......6.5..529.8......68.9.5.2..37..3...2.............,26,35,20,1,0,0,0,0,0,Intermediate,
5......93.......2.3.2..96..94..8........4....2.7.......9.....628.492....7..6..85.,25,51,5,1,0,0,0,0,0,Intermediate,
.18......7.9.5...4.4.2..3...7..82......4.......57.......15.9.....4.1.......3.8.95,24,49,8,2,0,0,0,0,0,Intermediate,
4....1...8...7.25..25..4....9...5..717.....9.5.8...34....4...7.....1.8.2....9....,25,45,11,1,0,1,0,0,0,Intermediate,
28..15..3..69.........6.75......82..3.....56.7.9..1....9.......6.7.......3..2....,23,51,7,1,2,4,0,0,0,Intermediate,
......4..7.3..6...6.....5.2.2.1.....3.....2.5.1542.86.............867.....2.1....,23,46,12,0,0,3,0,0,0,Intermediate,
7...91...1.85........82...9....3..5138...5..7..7...2.362..5.3...5.1.9..2.........,27,35,19,0,0,2,0,0,0,Intermediate,
4.....2......7..9..1..98.3...3...8.......1........6..17.6.....294..873..83..6..19,26,47,8,1,0,0,0,0,0,Intermediate,
...14........2.9.......87..8..25.....746..12...9..4.8.6...9.2.....7.....9...1685.,26,54,1,1,0,0,0,0,0,Intermediate,
......34.8.3.....2.7.......5...2.6....9.45...2.4.63..9.....9...9......6..8.7...5.,23,49,9,1,0,0,0,0,0,Intermediate,
...17...8..2..8..78.1...2...2.6..1......57.....5....9.....8.......7.1856...9..7.3,25,35,21,2,0,1,0,0,0,Intermediate,
.....1.25...79..81..7......2...36.......8...6.....5....3.9...6..9..675135......9.,25,49,7,1,0,0,0,0,0,Intermediate,
...56371..5...4.2...8.........12...66..4.5...84...71..2.7......31.........4.1.3..,26,46,9,1,0,0,0,0,0,Intermediate,
53...46.....95...8.....8.2..467.....97..........2...3...4.69.......8....783...4..,24,44,13,1,0,0,0,0,0,Intermediate,
..1.............6..9.2..34...4......9....2..3.3.8...9...56...3..6..1..85..24....1,23,39,19,1,0,1,1,0,0,Intermediate,
....437...3.5.8.2.9..7.......42...9.........8...9..41.....1..755..8....2.1..3....,24,40,17,1,0,0,0,0,0,Intermediate,
9.1....4...57...1.7..94.85....5..7..5....6.2.6.9........2...1..48..15.7..........,25,46,10,0,0,0,1,0,0,Intermediate,
.2......4.4.......9..8...2.....67.3..3492..686.7..49........38.7....5..6.......45,26,46,9,2,0,0,0,0,0,Intermediate,
